Lon,Lat,site
-87.88026,30.49748,1
-85.80361,33.28493,2
-87.6381,34.76262,3
-85.96986,34.28857,4
-85.99265,33.99149,5
-85.39079,31.22478,6
-86.815,33.55306,7
-87.00361,33.33111,8
-86.54917,33.54528,9
-86.92417,33.49972,10
-86.84411,33.52143,11
-86.58636,34.68776,12
-88.08776,30.77018,13
-86.26339,32.41281,14
-86.96754,34.53072,15
-85.00503,32.47214,16
-86.34944,33.27947,17
-87.48419,33.18993,18
-149.8246,61.20586,19
-149.56971,61.3267,20
-147.72246,64.84067,21
-147.72741,64.84569,22
-147.3103,64.76297,23
-134.56724,58.3885,24
-149.03166,61.53416,25
-149.10622,61.5989,26
-109.53968,31.3492,27
-113.5586,34.2439,28
-112.14257,33.48385,29
-111.86507,33.41045,30
-112.06626,33.56033,31
-112.19196,33.57454,32
-112.07533,33.40316,33
-111.93473,33.4124,34
-111.96797,33.39625,35
-112.12816,33.46155,36
-111.85565,33.48824,37
-112.11814,33.4265,38
-112.09577,33.50383,39
-111.03839,32.32266,40
-110.9823,32.29515,41
-111.75222,32.87758,42
-111.50322,33.42119,43
-112.03705,32.88476,44
-110.93672,31.3372,45
-114.61444,32.69028,46
-91.55896,34.51852,47
-91.95038,33.13686,48
-90.19314,35.19729,49
-93.00018,34.46944,50
-91.18891,35.63729,51
-94.22623,34.5837,52
-92.2813,34.75619,53
-92.3287,34.68134,54
-92.66962,33.22027,55
-94.11683,36.1797,56
-121.78422,37.68753,57
-122.16993,37.74307,58
-122.28235,37.81478,59
-122.26338,37.79362,60
-122.30274,37.86477,61
-121.84162,39.76154,62
-120.68157,38.20185,63
-122.2818,39.02122,64
-122.01773,39.20293,65
-122.02615,37.93601,66
-122.35681,37.9604,67
-119.77417,36.78532,68
-119.65834,36.98512,69
-120.38233,36.63423,70
-119.71736,36.81911,71
-119.733,36.72639,72
-124.1775,40.77694,73
-124.20139,40.71528,74
-115.48414,32.67619,75
-115.53917,32.97833,76
-115.56306,32.79222,77
-118.33078,37.36068,78
-117.87104,36.48782,79
-119.01501,35.38557,80
-118.14729,35.05055,81
-119.04121,35.35609,82
-117.67296,35.62109,83
-118.99917,35.32293,84
-119.56695,36.10218,85
-119.64457,36.3144,86
