fips,pm25,poverty,pop_density,med_house_value,pct_blk,med_household_income,pct_owner_occ,pct_hispanic,education,population,pct_asian,pct_native,pct_white,confirmed_covid_cases,covid_deaths,covid_recoveries,days_since_state_of_emergency,days_since_closing_K-12,days_since_closing_day_cares,days_since_banning_visitors_to_nursing_homes,days_since_shelter_in_place,days_since_closing_non-essential_businesses,religious_gatherings_exempt,liquor_stores_open,firearms_sellers_open,days_since_closing_restaurants_except_takeout,days_since_closing_gyms,days_since_closing_movie_theaters,froze_evictions,order_freezing_utility_shutoffs
1001,8.54802883997344,0.153784351319273,92.85992495348101,147900.0,0.191394927536232,58786.0,0.748946246744021,0.0276811594202899,0.201883770409505,55200.0,0.0102898550724638,0.0028804347826087,0.7687862318840579,53,3,0,58,53,51,52,36,43,0,1,1,52,43,43,0,0
1003,7.522473580979151,0.10566098502408199,130.901887732723,189800.0,0.0949703758162868,55962.0,0.736193431863855,0.0449432263210752,0.182423197685157,208107.0,0.00807277025760787,0.007313545435761409,0.862661995992446,189,5,0,58,53,51,52,36,43,0,1,1,52,43,43,0,0
1005,8.08588427916529,0.28863318165908297,29.132136346778697,92900.0,0.47575828097121997,34186.0,0.6139777922926191,0.0428981459933287,0.31539368917723404,25782.0,0.0037235280428205703,0.00279264603211543,0.47381894344891795,47,1,0,58,53,51,52,36,43,0,1,1,52,43,43,0,0
1007,8.746718817215541,0.139876880984952,36.1901975840685,96500.0,0.222754916322635,45340.0,0.750730994152047,0.0242819727438185,0.244739198567271,22527.0,0.00164247347627292,0.000355129400275225,0.766546810494074,43,0,0,58,53,51,52,36,43,0,1,1,52,43,43,0,0
1009,8.21567407841845,0.144003363582215,89.39555034668741,124700.0,0.0149535952814641,48695.0,0.7862621359223301,0.0912655043802585,0.268940851574349,57645.0,0.00343481654957065,0.00244600572469425,0.955052476363952,40,0,0,58,53,51,52,36,43,0,1,1,52,43,43,0,0
1011,8.231312806903041,0.313856090422848,16.6215576222263,77500.0,0.7624613601236478,32152.0,0.7553338875034641,0.00492658423493045,0.31467934650085305,10352.0,0.00540958268933539,0.0117851622874807,0.21986089644513102,18,0,0,58,53,51,52,36,43,0,1,1,52,43,43,0,0
1013,7.80493891333894,0.23544933272441299,25.7775568999906,88300.0,0.45218476903870203,39109.0,0.699463327370304,0.0033458177278402,0.238566530823469,20025.0,0.0115355805243446,9.98751560549313e-05,0.520049937578027,120,2,0,58,53,51,52,36,43,0,1,1,52,43,43,0,0
1015,9.01585169481306,0.18591546780257395,189.97222174083402,113800.0,0.20570296616796102,45197.0,0.6947349721315479,0.0365167075014336,0.229928143978999,115098.0,0.009252984413282591,0.0030669516412101,0.743349145945195,114,3,0,58,53,51,52,36,43,0,1,1,52,43,43,0,0
1017,8.16205633712657,0.16622588207008498,56.70166992112821,88400.0,0.393750369538225,39872.0,0.677641313998224,0.0227044285460888,0.250037285607755,33826.0,0.0119730384911015,0.00286761662626382,0.57597705906699,304,21,0,58,53,51,52,36,43,0,1,1,52,43,43,0,0
1019,9.0810955730815,0.15007254617466,46.706103885987204,123100.0,0.0490078520867984,41014.0,0.789553083160475,0.0153947317526012,0.255214664268002,25853.0,0.00212741267937957,0.009128534406065059,0.9282094921285731,17,0,0,58,53,51,52,36,43,0,1,1,52,43,43,0,0
1021,8.500363788821241,0.185714285714286,63.40463995061071,102200.0,0.0944229455952652,45182.0,0.7484926273058321,0.0777600728431596,0.253733137036926,43930.0,0.00432506259959026,0.00279990894605054,0.833120874117915,60,1,0,58,53,51,52,36,43,0,1,1,52,43,43,0,0
1023,7.694177236603099,0.222446601941748,14.313590967273099,75200.0,0.427533460803059,34884.0,0.796822429906542,0.00558317399617591,0.26043165467625895,13075.0,0.0009942638623326961,0.000688336520076482,0.567495219885277,54,0,0,58,53,51,52,36,43,0,1,1,52,43,43,0,0
1025,7.8254028117323395,0.254058339940742,19.6920197419499,100800.0,0.458153934473285,36127.0,0.674716819833298,0.00196826177881658,0.261290662174966,24387.0,0.0050436708082174896,0.00102513634313364,0.5304055439373441,43,1,0,58,53,51,52,36,43,0,1,1,52,43,43,0,0
1027,7.85209332187891,0.18443251533742303,22.150435555666103,102200.0,0.14777993721034502,41225.0,0.723644003055768,0.0310210793840634,0.297187233639549,13378.0,0.0013454925997907,0.0115861862759755,0.830168934070863,24,1,0,58,53,51,52,36,43,0,1,1,52,43,43,0,0
1029,7.9566696641993895,0.18548332082679603,26.670023068195896,112000.0,0.0263087428035882,40188.0,0.756549074397485,0.0242334984603026,0.298869565217391,14938.0,0.000200830097737314,0.00261079127058509,0.9417592716561791,13,1,0,58,53,51,52,36,43,0,1,1,52,43,43,0,0
1031,7.926083111580059,0.15056829432497698,75.5361528706977,149100.0,0.17214553111839,53155.0,0.6479357218656829,0.0691974730931212,0.22577759603342998,51288.0,0.0129854936827328,0.0120301045078771,0.758910466385899,134,0,0,58,53,51,52,36,43,0,1,1,52,43,43,0,0
